title,publisher,capital,rank,dl,rating,review,tag1,tag2,tag3,tag4,tag5,tag6
Puzzles & Survival × G.I. Joe,37GAMES,Private,12.909 ,50000000,4.1,1470000,Puzzle,Jigsaw,Casual,Single player,Realistic,Offline
Echoes of Mana,SQUARE ENIX,Public,34.400 ,100000,2.9,5980,Action,Single player,Stylized,Anime,-,-
Hero Wars - Fantasy idle RPG,Nexters Global LTD,Private,27.587 ,50000000,4.1,1530000,Role Playing,Action-strategy,Single player,Stylized,-,-
Aglet,Onlife Ltd,Private,42.000 ,500000,3.3,4860,Simulation,Casual,Single player,Stylized,Offline,-
Apex Legends Mobile,Electronic Arts,Public,38.652 ,10000000,3.6,718000,Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer
Code Geass: Lelouch of the Rebellion Lost Stories,EXNOA LLC,Private,30.068 ,100000,3.8,9480,Strategy,Tower defense,Stylized,Anime,-,-
eFootball™ 2022,KONAMI,Public,29.875 ,100000000,3.7,10700000,Sports,Soccer,Multiplayer,Competitive multiplayer,Single player,Realistic
Diablo Immortal,"Blizzard Entertainment, Inc.",Public,36.900 ,10000000,4.1,997000,Role Playing,Action Role-Playing,Multiplayer,Competitive multiplayer,Single player,Stylized
The Strongest Denden,QCPlay Inc.,Public,31.152 ,100000,4,9340,Adventure,Single player,Stylized,-,-,-
Shin Nobunaga's Ambition,HKBBGL,Private,31.185 ,100000,2.4,6790,Strategy,Wargame,Single player,Stylized,-,-
Eternal Tree,"BILIBILI CO.,LTD.",Private,35.333 ,50000,3.1,1420,Role Playing,Casual,Stylized,Anime,-,-
The Irregular at Magic High School Reloaded Memory,SQUARE ENIX,Public,34.778 ,50000,3.3,1890,Role Playing,Casual,Stylized,Anime,-,-
Slots GoldenHoYeah-Casino Slot,"International Games System Co., Ltd.",Private,40.000 ,10000000,3,465000,Casino,Slots,Casual,Single player,Stylized,-
Crash Fever,WonderPlanet Inc.,Public,38.000 ,1000000,4,142000,Role Playing,Puzzle Role-playing,Single player,Stylized,Anime,-
Grand Summoners - Anime RPG,"GOOD SMILE COMPANY, INC.",Private,40.000 ,500000,3.3,23000,Role Playing,Action-strategy,Single player,Stylized,Pixelated,-
BTS Island: In the SEOM,"HYBE IM Co.,Ltd.",Public,44.000 ,5000000,4.5,445000,Puzzle,Match 3,Match 3 adventure,Single player,Stylized,-
ALICE Fiction,WonderPlanet Inc.,Public,42.000 ,500000,4,54500,Role Playing,Puzzle Role-playing,Single player,Stylized,Anime,-
Lineage W,NCSOFT,Public,30.934 ,1000000,4.5,147000,Role Playing,MMORPG,Multiplayer,Competitive multiplayer,Stylized,-
Sengoku Enbu - KIZNA -,Sumzap Inc.,Private,39.552 ,1000000,3.7,13500,Role Playing,Single player,Stylized,-,-,-
Fullmetal Alchemist Mobile,SQUARE ENIX,Public,23.286 ,100000,3.1,14100,Role Playing,Tactical,Stylized,Anime,-,-
Tower of Fantasy,Level Infinite,Public,19.909 ,5000000,4,192000,Role Playing,MMORPG,Stylized,Anime,-,-
Survivor!.io,HABBY,Private,43.256 ,10000000,4.5,532000,Role Playing,Roguelike,Single player,Stylized,Offline,-
#COMPASS Live Arena,NHN PlayArt 株式会社,Public,25.500 ,100000,3.9,9380,Productivity,-,-,-,-,-
Genshin Impact - Sumeru Debut,COGNOSPHERE PTE. LTD.,Private,7.027 ,50000000,4.4,3810000,Role Playing,Action Role-Playing,Single player,Stylized,Anime,-
HINAKOI,"10ANTZ, Inc.",Private,34.706 ,100000,3.5,3820,Simulation,Life,Dating,Single player,Realistic,-
Touken Ranbu ONLINE Pocket,EXNOA LLC,Private,39.200 ,1000000,4.5,43900,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
eFootball™ 2023,KONAMI,Public,25.217 ,100000000,3.7,10700000,Sports,Soccer,Multiplayer,Competitive multiplayer,Single player,Realistic
Captain Tsubasa: Dream Team,KLab Inc.,Public,40.571 ,500000,3.5,15000,Sports,Soccer,Single player,Stylized,Anime,-
Dead by Daylight Mobile,NETEASE INTERACTIVE ENTERTAINMENT PTE. LTD,Public,46.000 ,1000000,3.8,33700,Action,Casual,Single player,Stylized,-,-
Forest Fantasy Legend of the World Tree,Spotlight Network Limited,Private,22.671 ,100000,4,18200,Role Playing,MMORPG,Multiplayer,Cooperative multiplayer,Single player,Stylized
Nogikoi,"10ANTZ, Inc.",Private,37.714 ,500000,4.2,28600,Simulation,Life,Dating,Single player,Realistic,-
Clash of Clans,Supercell,Public,32.400 ,500000000,4.4,59800000,Strategy,Build & battle,Casual,Single player,Multiplayer,Stylized
Re: Zero - Starting Life in Another World INFINITY,Level Infinite,Public,29.357 ,100000,4.2,4710,Role Playing,Turn-based RPG,Casual,Stylized,Anime,-
E.T.E Chronicle,"BILIBILI CO.,LTD.",Private,43.333 ,100000,3.6,3730,Role Playing,-,-,-,-,-
MementoMori: AFKRPG,"Bank of Innovation, Inc",Public,10.283 ,500000,4,44500,Role Playing,Tactical,Casual,Multiplayer,Competitive multiplayer,Single player
Magic Tower Reincarnation: Challenge to the Tough Guy,YUANLONG NETWORK LIMITED,Private,41.000 ,10000,3.4,1700,Role Playing,-,-,-,-,-
Dolphin Wave,HONEY PARADE GAMES Inc.,Public,30.133 ,100000,4,4360,Role Playing,-,-,-,-,-
Echocalypse,YOOZOO (SINGAPORE) PTE. LTD.,Public,25.105 ,500000,4.5,34900,Role Playing,Action-strategy,Casual,Single player,Stylized,Anime
Romancing SaGa Re: Universe,SQUARE ENIX,Public,16.818 ,1000000,3.8,75900,Role Playing,Turn-based RPG,Single player,Stylized,Pixelated,-
Shido no Hama – Daisangokushi,NetEase Games,Public,20.000 ,500000,4.3,16600,Strategy,Wargame,Multiplayer,Competitive multiplayer,Single player,Stylized
NEKO GOLF -Anime GOLF-,"COLOPL, Inc.",Public,39.000 ,1000000,4,29700,Sports,Golf,Casual,Multiplayer,Competitive multiplayer,Realistic
Path to Nowhere,AISNOGames,Private,45.200 ,1000000,4.3,80100,Role Playing,Tactical,Casual,Single player,Stylized,Anime
Date A Live Spirit Crisis,PANDA INTERACTIVE HONG KONG LIMITED,Private,35.500 ,50000,2.9,1100,Action,-,-,-,-,-
GODDESS OF VICTORY: NIKKE,Level Infinite,Public,3.167 ,1000000,4.1,318000,Role Playing,Action Role-Playing,Casual,Single player,Stylized,Anime
Mobile Suit Gundam: Iron-Blooded Orphans,Bandai Namco Entertainment Inc.,Public,41.667 ,50000,2.1,1340,Role Playing,-,-,-,-,-
Lords Mobile: Kingdom Wars,IGG.COM,Public,48.667 ,100000000,4.2,8010000,Strategy,4X,Casual,Multiplayer,Competitive multiplayer,Single player
The Eminence in Shadow: Master of Garden,Aiming Inc.,Public,20.250 ,100000,3.8,3300,Role Playing,-,-,-,-,-
Nobunaga's Ambition: Hadou,"KOEI TECMO GAMES CO., LTD.",Public,18.250 ,10000,3.5,1360,Simulation,-,-,-,-,-
Tales Weaver Second Run,NEXON Korea Corporation,Public,38.000 ,50000,3.4,1220,Role Playing,-,-,-,-,-
Romancing SaGa Re: Universe,SQUARE ENIX,Public,16.818 ,1000000,3.8,75900,Role Playing,Turn-based RPG,Single player,Stylized,Pixelated,-
Lineage W,NCSOFT,Public,30.934 ,1000000,4.5,147000,Role Playing,MMORPG,Multiplayer,Competitive multiplayer,Stylized,-
Neural Cloud,"Sunborn Japan Co., Ltd",Private,26.000 ,100000,4.2,3720,Role Playing,Tactical,Single player,Stylized,Anime,-
Tokyo Revengers Pazuribe! Road to National Domination,"GOODROID,Inc.",Private,25.000 ,50000,4,1740,Puzzle,-,-,-,-,-
Kirameki Paradise,Famous Heart Limited,Private,45.000 ,50000,4.7,855,Simulation,Lifestyle,Dress-up,Single player,Stylized,Stylized-realistic
